fips,candidate,party,candidatevotes,mode
4011,OTHER,OTHER,36,TOTAL
4012,BARACK OBAMA,DEMOCRAT,1929,TOTAL
4012,JOHN MCCAIN,REPUBLICAN,3509,TOTAL
4012,OTHER,OTHER,114,TOTAL
4013,BARACK OBAMA,DEMOCRAT,602166,TOTAL
4013,JOHN MCCAIN,REPUBLICAN,746448,TOTAL
4013,OTHER,OTHER,16348,TOTAL
4015,BARACK OBAMA,DEMOCRAT,22092,TOTAL
4015,JOHN MCCAIN,REPUBLICAN,44333,TOTAL
4015,OTHER,OTHER,1180,TOTAL
4017,BARACK OBAMA,DEMOCRAT,15579,TOTAL
4017,JOHN MCCAIN,REPUBLICAN,19761,TOTAL
4017,OTHER,OTHER,460,TOTAL
4019,BARACK OBAMA,DEMOCRAT,206254,TOTAL
4019,JOHN MCCAIN,REPUBLICAN,182406,TOTAL
4019,OTHER,OTHER,4768,TOTAL
4021,BARACK OBAMA,DEMOCRAT,44254,TOTAL
4021,JOHN MCCAIN,REPUBLICAN,59421,TOTAL
4021,OTHER,OTHER,1208,TOTAL
4023,BARACK OBAMA,DEMOCRAT,8683,TOTAL
4023,JOHN MCCAIN,REPUBLICAN,4518,TOTAL
4023,OTHER,OTHER,102,TOTAL
4025,BARACK OBAMA,DEMOCRAT,36889,TOTAL
4025,JOHN MCCAIN,REPUBLICAN,61192,TOTAL
4025,OTHER,OTHER,1567,TOTAL
4027,BARACK OBAMA,DEMOCRAT,18559,TOTAL
4027,JOHN MCCAIN,REPUBLICAN,24577,TOTAL
4027,OTHER,OTHER,479,TOTAL
5001,BARACK OBAMA,DEMOCRAT,2619,TOTAL
5001,JOHN MCCAIN,REPUBLICAN,4185,TOTAL
5001,OTHER,OTHER,174,TOTAL
5003,BARACK OBAMA,DEMOCRAT,2976,TOTAL
5003,JOHN MCCAIN,REPUBLICAN,5406,TOTAL
5003,OTHER,OTHER,260,TOTAL
5005,BARACK OBAMA,DEMOCRAT,6539,TOTAL
5005,JOHN MCCAIN,REPUBLICAN,12852,TOTAL
5005,OTHER,OTHER,590,TOTAL
5007,BARACK OBAMA,DEMOCRAT,23331,TOTAL
5007,JOHN MCCAIN,REPUBLICAN,51124,TOTAL
5007,OTHER,OTHER,1618,TOTAL
5009,BARACK OBAMA,DEMOCRAT,4435,TOTAL
5009,JOHN MCCAIN,REPUBLICAN,10575,TOTAL
5009,OTHER,OTHER,464,TOTAL
5011,BARACK OBAMA,DEMOCRAT,1680,TOTAL
5011,JOHN MCCAIN,REPUBLICAN,2262,TOTAL
5011,OTHER,OTHER,99,TOTAL
5013,BARACK OBAMA,DEMOCRAT,691,TOTAL
5013,JOHN MCCAIN,REPUBLICAN,1462,TOTAL
5013,OTHER,OTHER,64,TOTAL
5015,BARACK OBAMA,DEMOCRAT,4172,TOTAL
5015,JOHN MCCAIN,REPUBLICAN,6083,TOTAL
5015,OTHER,OTHER,324,TOTAL
5017,BARACK OBAMA,DEMOCRAT,3043,TOTAL
