fips,candidate,party,candidatevotes,mode
36051,OTHER,OTHER,442,TOTAL
36053,BARACK OBAMA,DEMOCRAT,14692,TOTAL
36053,JOHN MCCAIN,REPUBLICAN,14434,TOTAL
36053,OTHER,OTHER,652,TOTAL
36055,BARACK OBAMA,DEMOCRAT,207225,TOTAL
36055,JOHN MCCAIN,REPUBLICAN,144153,TOTAL
36055,OTHER,OTHER,4347,TOTAL
36057,BARACK OBAMA,DEMOCRAT,9080,TOTAL
36057,JOHN MCCAIN,REPUBLICAN,10711,TOTAL
36057,OTHER,OTHER,384,TOTAL
36059,BARACK OBAMA,DEMOCRAT,342067,TOTAL
36059,JOHN MCCAIN,REPUBLICAN,288758,TOTAL
36059,OTHER,OTHER,4589,TOTAL
36061,BARACK OBAMA,DEMOCRAT,572126,TOTAL
36061,JOHN MCCAIN,REPUBLICAN,89906,TOTAL
36061,OTHER,OTHER,5239,TOTAL
36063,BARACK OBAMA,DEMOCRAT,47303,TOTAL
36063,JOHN MCCAIN,REPUBLICAN,46348,TOTAL
36063,OTHER,OTHER,1556,TOTAL
36065,BARACK OBAMA,DEMOCRAT,43506,TOTAL
36065,JOHN MCCAIN,REPUBLICAN,49256,TOTAL
36065,OTHER,OTHER,1551,TOTAL
36067,BARACK OBAMA,DEMOCRAT,129317,TOTAL
36067,JOHN MCCAIN,REPUBLICAN,84972,TOTAL
36067,OTHER,OTHER,3905,TOTAL
36069,BARACK OBAMA,DEMOCRAT,25103,TOTAL
36069,JOHN MCCAIN,REPUBLICAN,25171,TOTAL
36069,OTHER,OTHER,746,TOTAL
36071,BARACK OBAMA,DEMOCRAT,78326,TOTAL
36071,JOHN MCCAIN,REPUBLICAN,72042,TOTAL
36071,OTHER,OTHER,1550,TOTAL
36073,BARACK OBAMA,DEMOCRAT,6614,TOTAL
36073,JOHN MCCAIN,REPUBLICAN,9708,TOTAL
36073,OTHER,OTHER,252,TOTAL
36075,BARACK OBAMA,DEMOCRAT,24777,TOTAL
36075,JOHN MCCAIN,REPUBLICAN,23571,TOTAL
36075,OTHER,OTHER,907,TOTAL
36077,BARACK OBAMA,DEMOCRAT,13570,TOTAL
36077,JOHN MCCAIN,REPUBLICAN,12026,TOTAL
36077,OTHER,OTHER,505,TOTAL
36079,BARACK OBAMA,DEMOCRAT,21613,TOTAL
36079,JOHN MCCAIN,REPUBLICAN,25145,TOTAL
36079,OTHER,OTHER,455,TOTAL
36081,BARACK OBAMA,DEMOCRAT,447906,TOTAL
36081,JOHN MCCAIN,REPUBLICAN,145898,TOTAL
36081,OTHER,OTHER,3794,TOTAL
36083,BARACK OBAMA,DEMOCRAT,39753,TOTAL
36083,JOHN MCCAIN,REPUBLICAN,32840,TOTAL
36083,OTHER,OTHER,1393,TOTAL
36085,BARACK OBAMA,DEMOCRAT,79311,TOTAL
36085,JOHN MCCAIN,REPUBLICAN,86062,TOTAL
36085,OTHER,OTHER,1107,TOTAL
36087,BARACK OBAMA,DEMOCRAT,69543,TOTAL
36087,JOHN MCCAIN,REPUBLICAN,61752,TOTAL
36087,OTHER,OTHER,841,TOTAL
36089,BARACK OBAMA,DEMOCRAT,23706,TOTAL
36089,JOHN MCCAIN,REPUBLICAN,16956,TOTAL
36089,OTHER,OTHER,580,TOTAL
36091,BARACK OBAMA,DEMOCRAT,56645,TOTAL
36091,JOHN MCCAIN,REPUBLICAN,52855,TOTAL
36091,OTHER,OTHER,1755,TOTAL
36093,BARACK OBAMA,DEMOCRAT,38611,TOTAL
36093,JOHN MCCAIN,REPUBLICAN,29758,TOTAL
36093,OTHER,OTHER,1409,TOTAL
36095,BARACK OBAMA,DEMOCRAT,6009,TOTAL
36095,JOHN MCCAIN,REPUBLICAN,8071,TOTAL
36095,OTHER,OTHER,301,TOTAL
36097,BARACK OBAMA,DEMOCRAT,3933,TOTAL
36097,JOHN MCCAIN,REPUBLICAN,4542,TOTAL
36097,OTHER,OTHER,125,TOTAL
36099,BARACK OBAMA,DEMOCRAT,7422,TOTAL
36099,JOHN MCCAIN,REPUBLICAN,7038,TOTAL
36099,OTHER,OTHER,265,TOTAL
36101,BARACK OBAMA,DEMOCRAT,17148,TOTAL
36101,JOHN MCCAIN,REPUBLICAN,24203,TOTAL
36101,OTHER,OTHER,540,TOTAL
36103,BARACK OBAMA,DEMOCRAT,346379,TOTAL
36103,JOHN MCCAIN,REPUBLICAN,306815,TOTAL
36103,OTHER,OTHER,5833,TOTAL
36105,BARACK OBAMA,DEMOCRAT,16850,TOTAL
36105,JOHN MCCAIN,REPUBLICAN,13900,TOTAL
36105,OTHER,OTHER,403,TOTAL
36107,BARACK OBAMA,DEMOCRAT,10172,TOTAL
36107,JOHN MCCAIN,REPUBLICAN,12536,TOTAL
36107,OTHER,OTHER,382,TOTAL
36109,BARACK OBAMA,DEMOCRAT,29826,TOTAL
36109,JOHN MCCAIN,REPUBLICAN,11927,TOTAL
36109,OTHER,OTHER,732,TOTAL
36111,BARACK OBAMA,DEMOCRAT,52539,TOTAL
36111,JOHN MCCAIN,REPUBLICAN,32527,TOTAL
36111,OTHER,OTHER,1395,TOTAL
36113,BARACK OBAMA,DEMOCRAT,16281,TOTAL
36113,JOHN MCCAIN,REPUBLICAN,15429,TOTAL
36113,OTHER,OTHER,496,TOTAL
36115,BARACK OBAMA,DEMOCRAT,12741,TOTAL
36115,JOHN MCCAIN,REPUBLICAN,12533,TOTAL
36115,OTHER,OTHER,442,TOTAL
36117,BARACK OBAMA,DEMOCRAT,18184,TOTAL
36117,JOHN MCCAIN,REPUBLICAN,22239,TOTAL
36117,OTHER,OTHER,579,TOTAL
36119,BARACK OBAMA,DEMOCRAT,261810,TOTAL
36119,JOHN MCCAIN,REPUBLICAN,147824,TOTAL
36119,OTHER,OTHER,3213,TOTAL
36121,BARACK OBAMA,DEMOCRAT,6379,TOTAL
36121,JOHN MCCAIN,REPUBLICAN,10998,TOTAL
36121,OTHER,OTHER,281,TOTAL
36123,BARACK OBAMA,DEMOCRAT,4890,TOTAL
36123,JOHN MCCAIN,REPUBLICAN,5269,TOTAL
36123,OTHER,OTHER,105,TOTAL
37001,BARACK OBAMA,DEMOCRAT,28918,TOTAL
37001,JOHN MCCAIN,REPUBLICAN,34859,TOTAL
37001,OTHER,OTHER,576,TOTAL
37003,BARACK OBAMA,DEMOCRAT,5167,TOTAL
37003,JOHN MCCAIN,REPUBLICAN,11790,TOTAL
37003,OTHER,OTHER,297,TOTAL
37005,BARACK OBAMA,DEMOCRAT,2021,TOTAL
37005,JOHN MCCAIN,REPUBLICAN,3124,TOTAL
37005,OTHER,OTHER,118,TOTAL
37007,BARACK OBAMA,DEMOCRAT,6456,TOTAL
37007,JOHN MCCAIN,REPUBLICAN,4207,TOTAL
37007,OTHER,OTHER,70,TOTAL
37009,BARACK OBAMA,DEMOCRAT,4872,TOTAL
37009,JOHN MCCAIN,REPUBLICAN,7916,TOTAL
37009,OTHER,OTHER,281,TOTAL
37011,BARACK OBAMA,DEMOCRAT,2178,TOTAL
37011,JOHN MCCAIN,REPUBLICAN,5681,TOTAL
37011,OTHER,OTHER,84,TOTAL
37013,BARACK OBAMA,DEMOCRAT,9454,TOTAL
37013,JOHN MCCAIN,REPUBLICAN,13460,TOTAL
37013,OTHER,OTHER,96,TOTAL
37015,BARACK OBAMA,DEMOCRAT,6365,TOTAL
37015,JOHN MCCAIN,REPUBLICAN,3376,TOTAL
37015,OTHER,OTHER,22,TOTAL
37017,BARACK OBAMA,DEMOCRAT,7853,TOTAL
37017,JOHN MCCAIN,REPUBLICAN,7532,TOTAL
37017,OTHER,OTHER,95,TOTAL
37019,BARACK OBAMA,DEMOCRAT,21331,TOTAL
37019,JOHN MCCAIN,REPUBLICAN,30753,TOTAL
37019,OTHER,OTHER,524,TOTAL
37021,BARACK OBAMA,DEMOCRAT,69716,TOTAL
37021,JOHN MCCAIN,REPUBLICAN,52494,TOTAL
37021,OTHER,OTHER,1585,TOTAL
37023,BARACK OBAMA,DEMOCRAT,14901,TOTAL
37023,JOHN MCCAIN,REPUBLICAN,22102,TOTAL
37023,OTHER,OTHER,440,TOTAL
37025,BARACK OBAMA,DEMOCRAT,31546,TOTAL
37025,JOHN MCCAIN,REPUBLICAN,45924,TOTAL
37025,OTHER,OTHER,524,TOTAL
37027,BARACK OBAMA,DEMOCRAT,12081,TOTAL
37027,JOHN MCCAIN,REPUBLICAN,22526,TOTAL
37027,OTHER,OTHER,548,TOTAL
37029,BARACK OBAMA,DEMOCRAT,1597,TOTAL
37029,JOHN MCCAIN,REPUBLICAN,3140,TOTAL
37029,OTHER,OTHER,84,TOTAL
37031,BARACK OBAMA,DEMOCRAT,11130,TOTAL
37031,JOHN MCCAIN,REPUBLICAN,23131,TOTAL
37031,OTHER,OTHER,336,TOTAL
37033,BARACK OBAMA,DEMOCRAT,5545,TOTAL
37033,JOHN MCCAIN,REPUBLICAN,5208,TOTAL
37033,OTHER,OTHER,109,TOTAL
37035,BARACK OBAMA,DEMOCRAT,25656,TOTAL
37035,JOHN MCCAIN,REPUBLICAN,42993,TOTAL
37035,OTHER,OTHER,802,TOTAL
37037,BARACK OBAMA,DEMOCRAT,17862,TOTAL
37037,JOHN MCCAIN,REPUBLICAN,14668,TOTAL
37037,OTHER,OTHER,350,TOTAL
37039,BARACK OBAMA,DEMOCRAT,3785,TOTAL
37039,JOHN MCCAIN,REPUBLICAN,8643,TOTAL
37039,OTHER,OTHER,158,TOTAL
37041,BARACK OBAMA,DEMOCRAT,3688,TOTAL
37041,JOHN MCCAIN,REPUBLICAN,3773,TOTAL
37041,OTHER,OTHER,51,TOTAL
37043,BARACK OBAMA,DEMOCRAT,1734,TOTAL
37043,JOHN MCCAIN,REPUBLICAN,3707,TOTAL
37043,OTHER,OTHER,102,TOTAL
37045,BARACK OBAMA,DEMOCRAT,17363,TOTAL
37045,JOHN MCCAIN,REPUBLICAN,26078,TOTAL
37045,OTHER,OTHER,394,TOTAL
37047,BARACK OBAMA,DEMOCRAT,11076,TOTAL
37047,JOHN MCCAIN,REPUBLICAN,12994,TOTAL
37047,OTHER,OTHER,212,TOTAL
37049,BARACK OBAMA,DEMOCRAT,19352,TOTAL
37049,JOHN MCCAIN,REPUBLICAN,24901,TOTAL
37049,OTHER,OTHER,345,TOTAL
37051,BARACK OBAMA,DEMOCRAT,74693,TOTAL
37051,JOHN MCCAIN,REPUBLICAN,52151,TOTAL
37051,OTHER,OTHER,731,TOTAL
37053,BARACK OBAMA,DEMOCRAT,3737,TOTAL
37053,JOHN MCCAIN,REPUBLICAN,7234,TOTAL
37053,OTHER,OTHER,131,TOTAL
37055,BARACK OBAMA,DEMOCRAT,8074,TOTAL
37055,JOHN MCCAIN,REPUBLICAN,9745,TOTAL
37055,OTHER,OTHER,229,TOTAL
37057,BARACK OBAMA,DEMOCRAT,22433,TOTAL
37057,JOHN MCCAIN,REPUBLICAN,45419,TOTAL
37057,OTHER,OTHER,729,TOTAL
37059,BARACK OBAMA,DEMOCRAT,6178,TOTAL
37059,JOHN MCCAIN,REPUBLICAN,13981,TOTAL
37059,OTHER,OTHER,209,TOTAL
37061,BARACK OBAMA,DEMOCRAT,8958,TOTAL
37061,JOHN MCCAIN,REPUBLICAN,10834,TOTAL
37061,OTHER,OTHER,112,TOTAL
37063,BARACK OBAMA,DEMOCRAT,103456,TOTAL
37063,JOHN MCCAIN,REPUBLICAN,32353,TOTAL
37063,OTHER,OTHER,1088,TOTAL
37065,BARACK OBAMA,DEMOCRAT,17403,TOTAL
37065,JOHN MCCAIN,REPUBLICAN,8445,TOTAL
37065,OTHER,OTHER,82,TOTAL
37067,BARACK OBAMA,DEMOCRAT,91085,TOTAL
37067,JOHN MCCAIN,REPUBLICAN,73674,TOTAL
37067,OTHER,OTHER,1374,TOTAL
37069,BARACK OBAMA,DEMOCRAT,13085,TOTAL
37069,JOHN MCCAIN,REPUBLICAN,13273,TOTAL
37069,OTHER,OTHER,281,TOTAL
37071,BARACK OBAMA,DEMOCRAT,31384,TOTAL
37071,JOHN MCCAIN,REPUBLICAN,52507,TOTAL
37071,OTHER,OTHER,511,TOTAL
37073,BARACK OBAMA,DEMOCRAT,2830,TOTAL
37073,JOHN MCCAIN,REPUBLICAN,2547,TOTAL
37073,OTHER,OTHER,43,TOTAL
37075,BARACK OBAMA,DEMOCRAT,1265,TOTAL
37075,JOHN MCCAIN,REPUBLICAN,2824,TOTAL
37075,OTHER,OTHER,82,TOTAL
37077,BARACK OBAMA,DEMOCRAT,13074,TOTAL
37077,JOHN MCCAIN,REPUBLICAN,11447,TOTAL
37077,OTHER,OTHER,204,TOTAL
37079,BARACK OBAMA,DEMOCRAT,3796,TOTAL
37079,JOHN MCCAIN,REPUBLICAN,4272,TOTAL
37079,OTHER,OTHER,35,TOTAL
37081,BARACK OBAMA,DEMOCRAT,142101,TOTAL
37081,JOHN MCCAIN,REPUBLICAN,97718,TOTAL
37081,OTHER,OTHER,1952,TOTAL
37083,BARACK OBAMA,DEMOCRAT,16047,TOTAL
37083,JOHN MCCAIN,REPUBLICAN,8961,TOTAL
37083,OTHER,OTHER,83,TOTAL
37085,BARACK OBAMA,DEMOCRAT,16785,TOTAL
37085,JOHN MCCAIN,REPUBLICAN,23579,TOTAL
37085,OTHER,OTHER,341,TOTAL
37087,BARACK OBAMA,DEMOCRAT,12730,TOTAL
37087,JOHN MCCAIN,REPUBLICAN,14910,TOTAL
37087,OTHER,OTHER,427,TOTAL
37089,BARACK OBAMA,DEMOCRAT,20082,TOTAL
37089,JOHN MCCAIN,REPUBLICAN,30930,TOTAL
37089,OTHER,OTHER,602,TOTAL
37091,BARACK OBAMA,DEMOCRAT,7513,TOTAL
37091,JOHN MCCAIN,REPUBLICAN,3089,TOTAL
37091,OTHER,OTHER,48,TOTAL
37093,BARACK OBAMA,DEMOCRAT,9227,TOTAL
37093,JOHN MCCAIN,REPUBLICAN,6293,TOTAL
37093,OTHER,OTHER,107,TOTAL
37095,BARACK OBAMA,DEMOCRAT,1241,TOTAL
37095,JOHN MCCAIN,REPUBLICAN,1212,TOTAL
37095,OTHER,OTHER,16,TOTAL
37097,BARACK OBAMA,DEMOCRAT,27318,TOTAL
37097,JOHN MCCAIN,REPUBLICAN,45148,TOTAL
37097,OTHER,OTHER,696,TOTAL
37099,BARACK OBAMA,DEMOCRAT,8766,TOTAL
37099,JOHN MCCAIN,REPUBLICAN,7854,TOTAL
37099,OTHER,OTHER,246,TOTAL
37101,BARACK OBAMA,DEMOCRAT,26795,TOTAL
37101,JOHN MCCAIN,REPUBLICAN,43622,TOTAL
37101,OTHER,OTHER,600,TOTAL
37103,BARACK OBAMA,DEMOCRAT,2378,TOTAL
37103,JOHN MCCAIN,REPUBLICAN,2817,TOTAL
37103,OTHER,OTHER,32,TOTAL
37105,BARACK OBAMA,DEMOCRAT,10784,TOTAL
37105,JOHN MCCAIN,REPUBLICAN,12775,TOTAL
37105,OTHER,OTHER,229,TOTAL
37107,BARACK OBAMA,DEMOCRAT,13378,TOTAL
37107,JOHN MCCAIN,REPUBLICAN,13401,TOTAL
37107,OTHER,OTHER,118,TOTAL
37109,BARACK OBAMA,DEMOCRAT,11713,TOTAL
37109,JOHN MCCAIN,REPUBLICAN,23631,TOTAL
37109,OTHER,OTHER,454,TOTAL
37111,BARACK OBAMA,DEMOCRAT,6571,TOTAL
37111,JOHN MCCAIN,REPUBLICAN,11534,TOTAL
37111,OTHER,OTHER,281,TOTAL
37113,BARACK OBAMA,DEMOCRAT,6620,TOTAL
37113,JOHN MCCAIN,REPUBLICAN,10317,TOTAL
37113,OTHER,OTHER,301,TOTAL
37115,BARACK OBAMA,DEMOCRAT,5026,TOTAL
37115,JOHN MCCAIN,REPUBLICAN,5192,TOTAL
37115,OTHER,OTHER,161,TOTAL
37117,BARACK OBAMA,DEMOCRAT,6539,TOTAL
37117,JOHN MCCAIN,REPUBLICAN,5957,TOTAL
37117,OTHER,OTHER,45,TOTAL
37119,BARACK OBAMA,DEMOCRAT,253958,TOTAL
37119,JOHN MCCAIN,REPUBLICAN,153848,TOTAL
37119,OTHER,OTHER,3011,TOTAL
37121,BARACK OBAMA,DEMOCRAT,2238,TOTAL
37121,JOHN MCCAIN,REPUBLICAN,5499,TOTAL
37121,OTHER,OTHER,109,TOTAL
37123,BARACK OBAMA,DEMOCRAT,4926,TOTAL
37123,JOHN MCCAIN,REPUBLICAN,6155,TOTAL
37123,OTHER,OTHER,129,TOTAL
37125,BARACK OBAMA,DEMOCRAT,17624,TOTAL
37125,JOHN MCCAIN,REPUBLICAN,27314,TOTAL
37125,OTHER,OTHER,390,TOTAL
37127,BARACK OBAMA,DEMOCRAT,23099,TOTAL
37127,JOHN MCCAIN,REPUBLICAN,23728,TOTAL
37127,OTHER,OTHER,291,TOTAL
37129,BARACK OBAMA,DEMOCRAT,49145,TOTAL
37129,JOHN MCCAIN,REPUBLICAN,50544,TOTAL
37129,OTHER,OTHER,976,TOTAL
37131,BARACK OBAMA,DEMOCRAT,6903,TOTAL
37131,JOHN MCCAIN,REPUBLICAN,3671,TOTAL
37131,OTHER,OTHER,44,TOTAL
37133,BARACK OBAMA,DEMOCRAT,19499,TOTAL
37133,JOHN MCCAIN,REPUBLICAN,30278,TOTAL
37133,OTHER,OTHER,426,TOTAL
37135,BARACK OBAMA,DEMOCRAT,53806,TOTAL
37135,JOHN MCCAIN,REPUBLICAN,20266,TOTAL
37135,OTHER,OTHER,838,TOTAL
37137,BARACK OBAMA,DEMOCRAT,2838,TOTAL
37137,JOHN MCCAIN,REPUBLICAN,3823,TOTAL
37137,OTHER,OTHER,51,TOTAL
37139,BARACK OBAMA,DEMOCRAT,10272,TOTAL
37139,JOHN MCCAIN,REPUBLICAN,7778,TOTAL
37139,OTHER,OTHER,130,TOTAL
37141,BARACK OBAMA,DEMOCRAT,9907,TOTAL
37141,JOHN MCCAIN,REPUBLICAN,13618,TOTAL
37141,OTHER,OTHER,224,TOTAL
37143,BARACK OBAMA,DEMOCRAT,2772,TOTAL
37143,JOHN MCCAIN,REPUBLICAN,3678,TOTAL
37143,OTHER,OTHER,51,TOTAL
37145,BARACK OBAMA,DEMOCRAT,8446,TOTAL
37145,JOHN MCCAIN,REPUBLICAN,10030,TOTAL
37145,OTHER,OTHER,156,TOTAL
37147,BARACK OBAMA,DEMOCRAT,40501,TOTAL
37147,JOHN MCCAIN,REPUBLICAN,33927,TOTAL
37147,OTHER,OTHER,456,TOTAL
37149,BARACK OBAMA,DEMOCRAT,4396,TOTAL
37149,JOHN MCCAIN,REPUBLICAN,5990,TOTAL
37149,OTHER,OTHER,176,TOTAL
37151,BARACK OBAMA,DEMOCRAT,16414,TOTAL
37151,JOHN MCCAIN,REPUBLICAN,40998,TOTAL
37151,OTHER,OTHER,735,TOTAL
37153,BARACK OBAMA,DEMOCRAT,9713,TOTAL
37153,JOHN MCCAIN,REPUBLICAN,9424,TOTAL
37153,OTHER,OTHER,190,TOTAL
37155,BARACK OBAMA,DEMOCRAT,23058,TOTAL
37155,JOHN MCCAIN,REPUBLICAN,17433,TOTAL
37155,OTHER,OTHER,343,TOTAL
37157,BARACK OBAMA,DEMOCRAT,17255,TOTAL
37157,JOHN MCCAIN,REPUBLICAN,23899,TOTAL
37157,OTHER,OTHER,458,TOTAL
37159,BARACK OBAMA,DEMOCRAT,23391,TOTAL
37159,JOHN MCCAIN,REPUBLICAN,37451,TOTAL
37159,OTHER,OTHER,718,TOTAL
37161,BARACK OBAMA,DEMOCRAT,9641,TOTAL
37161,JOHN MCCAIN,REPUBLICAN,18769,TOTAL
37161,OTHER,OTHER,310,TOTAL
37163,BARACK OBAMA,DEMOCRAT,11836,TOTAL
37163,JOHN MCCAIN,REPUBLICAN,14038,TOTAL
37163,OTHER,OTHER,164,TOTAL
37165,BARACK OBAMA,DEMOCRAT,8151,TOTAL
37165,JOHN MCCAIN,REPUBLICAN,6005,TOTAL
37165,OTHER,OTHER,61,TOTAL
37167,BARACK OBAMA,DEMOCRAT,8878,TOTAL
37167,JOHN MCCAIN,REPUBLICAN,19329,TOTAL
37167,OTHER,OTHER,299,TOTAL
37169,BARACK OBAMA,DEMOCRAT,6875,TOTAL
37169,JOHN MCCAIN,REPUBLICAN,14488,TOTAL
37169,OTHER,OTHER,380,TOTAL
37171,BARACK OBAMA,DEMOCRAT,10475,TOTAL
37171,JOHN MCCAIN,REPUBLICAN,18730,TOTAL
37171,OTHER,OTHER,320,TOTAL
37173,BARACK OBAMA,DEMOCRAT,2806,TOTAL
37173,JOHN MCCAIN,REPUBLICAN,2900,TOTAL
37173,OTHER,OTHER,92,TOTAL
37175,BARACK OBAMA,DEMOCRAT,7275,TOTAL
37175,JOHN MCCAIN,REPUBLICAN,9401,TOTAL
37175,OTHER,OTHER,233,TOTAL
37177,BARACK OBAMA,DEMOCRAT,933,TOTAL
37177,JOHN MCCAIN,REPUBLICAN,960,TOTAL
37177,OTHER,OTHER,17,TOTAL
37179,BARACK OBAMA,DEMOCRAT,31189,TOTAL
37179,JOHN MCCAIN,REPUBLICAN,54123,TOTAL
37179,OTHER,OTHER,777,TOTAL
37181,BARACK OBAMA,DEMOCRAT,13166,TOTAL
37181,JOHN MCCAIN,REPUBLICAN,7606,TOTAL
37181,OTHER,OTHER,99,TOTAL
37183,BARACK OBAMA,DEMOCRAT,250891,TOTAL
37183,JOHN MCCAIN,REPUBLICAN,187001,TOTAL
37183,OTHER,OTHER,4353,TOTAL
37185,BARACK OBAMA,DEMOCRAT,7086,TOTAL
37185,JOHN MCCAIN,REPUBLICAN,3063,TOTAL
37185,OTHER,OTHER,46,TOTAL
37187,BARACK OBAMA,DEMOCRAT,3748,TOTAL
37187,JOHN MCCAIN,REPUBLICAN,2670,TOTAL
37187,OTHER,OTHER,36,TOTAL
37189,BARACK OBAMA,DEMOCRAT,14558,TOTAL
37189,JOHN MCCAIN,REPUBLICAN,13344,TOTAL
37189,OTHER,OTHER,470,TOTAL
37191,BARACK OBAMA,DEMOCRAT,22671,TOTAL
37191,JOHN MCCAIN,REPUBLICAN,26952,TOTAL
37191,OTHER,OTHER,259,TOTAL
37193,BARACK OBAMA,DEMOCRAT,8934,TOTAL
37193,JOHN MCCAIN,REPUBLICAN,20288,TOTAL
37193,OTHER,OTHER,502,TOTAL
37195,BARACK OBAMA,DEMOCRAT,19652,TOTAL
37195,JOHN MCCAIN,REPUBLICAN,17375,TOTAL
37195,OTHER,OTHER,164,TOTAL
37197,BARACK OBAMA,DEMOCRAT,4527,TOTAL
37197,JOHN MCCAIN,REPUBLICAN,12409,TOTAL
37197,OTHER,OTHER,211,TOTAL
37199,BARACK OBAMA,DEMOCRAT,4486,TOTAL
37199,JOHN MCCAIN,REPUBLICAN,5045,TOTAL
37199,OTHER,OTHER,186,TOTAL
38001,BARACK OBAMA,DEMOCRAT,435,TOTAL
38001,JOHN MCCAIN,REPUBLICAN,788,TOTAL
38001,OTHER,OTHER,48,TOTAL
38003,BARACK OBAMA,DEMOCRAT,2741,TOTAL
38003,JOHN MCCAIN,REPUBLICAN,2826,TOTAL
38003,OTHER,OTHER,127,TOTAL
38005,BARACK OBAMA,DEMOCRAT,1569,TOTAL
38005,JOHN MCCAIN,REPUBLICAN,773,TOTAL
38005,OTHER,OTHER,32,TOTAL
38007,BARACK OBAMA,DEMOCRAT,114,TOTAL
38007,JOHN MCCAIN,REPUBLICAN,375,TOTAL
38007,OTHER,OTHER,10,TOTAL
38009,BARACK OBAMA,DEMOCRAT,1387,TOTAL
38009,JOHN MCCAIN,REPUBLICAN,2059,TOTAL
38009,OTHER,OTHER,70,TOTAL
38011,BARACK OBAMA,DEMOCRAT,478,TOTAL
38011,JOHN MCCAIN,REPUBLICAN,1107,TOTAL
38011,OTHER,OTHER,55,TOTAL
38013,BARACK OBAMA,DEMOCRAT,286,TOTAL
38013,JOHN MCCAIN,REPUBLICAN,640,TOTAL
38013,OTHER,OTHER,17,TOTAL
38015,BARACK OBAMA,DEMOCRAT,15600,TOTAL
38015,JOHN MCCAIN,REPUBLICAN,25443,TOTAL
38015,OTHER,OTHER,729,TOTAL
38017,BARACK OBAMA,DEMOCRAT,37622,TOTAL
38017,JOHN MCCAIN,REPUBLICAN,32566,TOTAL
38017,OTHER,OTHER,1231,TOTAL
38019,BARACK OBAMA,DEMOCRAT,930,TOTAL
38019,JOHN MCCAIN,REPUBLICAN,1128,TOTAL
38019,OTHER,OTHER,72,TOTAL
38021,BARACK OBAMA,DEMOCRAT,1044,TOTAL
38021,JOHN MCCAIN,REPUBLICAN,1525,TOTAL
38021,OTHER,OTHER,51,TOTAL
38023,BARACK OBAMA,DEMOCRAT,464,TOTAL
38023,JOHN MCCAIN,REPUBLICAN,630,TOTAL
38023,OTHER,OTHER,37,TOTAL
38025,BARACK OBAMA,DEMOCRAT,527,TOTAL
38025,JOHN MCCAIN,REPUBLICAN,1080,TOTAL
38025,OTHER,OTHER,37,TOTAL
38027,BARACK OBAMA,DEMOCRAT,583,TOTAL
38027,JOHN MCCAIN,REPUBLICAN,548,TOTAL
38027,OTHER,OTHER,34,TOTAL
38029,BARACK OBAMA,DEMOCRAT,546,TOTAL
38029,JOHN MCCAIN,REPUBLICAN,1230,TOTAL
38029,OTHER,OTHER,61,TOTAL
38031,BARACK OBAMA,DEMOCRAT,687,TOTAL
38031,JOHN MCCAIN,REPUBLICAN,914,TOTAL
38031,OTHER,OTHER,50,TOTAL
38033,BARACK OBAMA,DEMOCRAT,210,TOTAL
38033,JOHN MCCAIN,REPUBLICAN,642,TOTAL
38033,OTHER,OTHER,23,TOTAL
38035,BARACK OBAMA,DEMOCRAT,16104,TOTAL
38035,JOHN MCCAIN,REPUBLICAN,14520,TOTAL
38035,OTHER,OTHER,529,TOTAL
38037,BARACK OBAMA,DEMOCRAT,280,TOTAL
38037,JOHN MCCAIN,REPUBLICAN,587,TOTAL
38037,OTHER,OTHER,462,TOTAL
38039,BARACK OBAMA,DEMOCRAT,598,TOTAL
38039,JOHN MCCAIN,REPUBLICAN,682,TOTAL
38039,OTHER,OTHER,34,TOTAL
38041,BARACK OBAMA,DEMOCRAT,406,TOTAL
38041,JOHN MCCAIN,REPUBLICAN,893,TOTAL
38041,OTHER,OTHER,49,TOTAL
38043,BARACK OBAMA,DEMOCRAT,422,TOTAL
38043,JOHN MCCAIN,REPUBLICAN,752,TOTAL
38043,OTHER,OTHER,54,TOTAL
38045,BARACK OBAMA,DEMOCRAT,868,TOTAL
38045,JOHN MCCAIN,REPUBLICAN,1310,TOTAL
38045,OTHER,OTHER,63,TOTAL
38047,BARACK OBAMA,DEMOCRAT,299,TOTAL
38047,JOHN MCCAIN,REPUBLICAN,726,TOTAL
38047,OTHER,OTHER,32,TOTAL
38049,BARACK OBAMA,DEMOCRAT,981,TOTAL
38049,JOHN MCCAIN,REPUBLICAN,1374,TOTAL
38049,OTHER,OTHER,61,TOTAL
38051,BARACK OBAMA,DEMOCRAT,579,TOTAL
38051,JOHN MCCAIN,REPUBLICAN,916,TOTAL
38051,OTHER,OTHER,37,TOTAL
38053,BARACK OBAMA,DEMOCRAT,933,TOTAL
38053,JOHN MCCAIN,REPUBLICAN,1740,TOTAL
38053,OTHER,OTHER,42,TOTAL
38055,BARACK OBAMA,DEMOCRAT,1867,TOTAL
38055,JOHN MCCAIN,REPUBLICAN,2767,TOTAL
38055,OTHER,OTHER,102,TOTAL
38057,BARACK OBAMA,DEMOCRAT,1476,TOTAL
38057,JOHN MCCAIN,REPUBLICAN,2789,TOTAL
38057,OTHER,OTHER,132,TOTAL
38059,BARACK OBAMA,DEMOCRAT,5079,TOTAL
38059,JOHN MCCAIN,REPUBLICAN,7869,TOTAL
38059,OTHER,OTHER,316,TOTAL
