fips,party,candidatevotes
8014,DEMOCRAT,19731
8014,REPUBLICAN,14367
8014,OTHER,3591
8015,DEMOCRAT,4888
8015,REPUBLICAN,5391
8015,OTHER,971
8017,DEMOCRAT,132
8017,REPUBLICAN,925
8017,OTHER,45
8019,DEMOCRAT,2729
8019,REPUBLICAN,2575
8019,OTHER,562
8021,DEMOCRAT,1771
8021,REPUBLICAN,1914
8021,OTHER,337
8023,DEMOCRAT,1125
8023,REPUBLICAN,588
8023,OTHER,135
8025,DEMOCRAT,339
8025,REPUBLICAN,1079
8025,OTHER,109
8027,DEMOCRAT,797
8027,REPUBLICAN,2061
8027,OTHER,208
8029,DEMOCRAT,4087
8029,REPUBLICAN,11655
8029,OTHER,1048
8031,DEMOCRAT,244551
8031,REPUBLICAN,62690
8031,OTHER,24611
8033,DEMOCRAT,242
8033,REPUBLICAN,944
8033,OTHER,69
8035,DEMOCRAT,68657
8035,REPUBLICAN,102573
8035,OTHER,16269
8037,DEMOCRAT,14099
8037,REPUBLICAN,8990
8037,OTHER,2134
8039,DEMOCRAT,3134
8039,REPUBLICAN,11705
8039,OTHER,1139
8041,DEMOCRAT,108010
8041,REPUBLICAN,179228
8041,OTHER,31729
8043,DEMOCRAT,5297
8043,REPUBLICAN,15122
8043,OTHER,1554
8045,DEMOCRAT,11271
8045,REPUBLICAN,13132
8045,OTHER,2067
8047,DEMOCRAT,1634
8047,REPUBLICAN,1566
8047,OTHER,376
8049,DEMOCRAT,3358
8049,REPUBLICAN,4494
8049,OTHER,736
8051,DEMOCRAT,5128
8051,REPUBLICAN,3289
8051,OTHER,995
8053,DEMOCRAT,197
8053,REPUBLICAN,339
8053,OTHER,53
8055,DEMOCRAT,1633
8055,REPUBLICAN,1883
8055,OTHER,267
8057,DEMOCRAT,171
8057,REPUBLICAN,629
8057,OTHER,61
8059,DEMOCRAT,160776
8059,REPUBLICAN,138177
8059,OTHER,29929
8061,DEMOCRAT,91
8061,REPUBLICAN,728
8061,OTHER,36
8063,DEMOCRAT,536
8063,REPUBLICAN,2967
8063,OTHER,199
8065,DEMOCRAT,1616
8065,REPUBLICAN,1270
8065,OTHER,313
8067,DEMOCRAT,15525
8067,REPUBLICAN,12587
8067,OTHER,3038
8069,DEMOCRAT,93113
8069,REPUBLICAN,83430
8069,OTHER,19437
8071,DEMOCRAT,2650
8071,REPUBLICAN,3710
8071,OTHER,433
8073,DEMOCRAT,409
8073,REPUBLICAN,1892
8073,OTHER,135
8075,DEMOCRAT,1851
8075,REPUBLICAN,7282
8075,OTHER,589
8077,DEMOCRAT,21729
8077,REPUBLICAN,49779
8077,OTHER,6145
8079,DEMOCRAT,237
8079,REPUBLICAN,344
8079,OTHER,71
8081,DEMOCRAT,874
8081,REPUBLICAN,5305
8081,OTHER,346
8083,DEMOCRAT,3973
8083,REPUBLICAN,7853
8083,OTHER,1032
8085,DEMOCRAT,5466
8085,REPUBLICAN,14382
8085,OTHER,1338
8087,DEMOCRAT,3151
8087,REPUBLICAN,8145
8087,OTHER,664
8089,DEMOCRAT,2943
8089,REPUBLICAN,4928
8089,OTHER,581
8091,DEMOCRAT,1697
8091,REPUBLICAN,1351
8091,OTHER,262
8093,DEMOCRAT,3421
8093,REPUBLICAN,6135
8093,OTHER,861
8095,DEMOCRAT,436
8095,REPUBLICAN,1791
8095,OTHER,105
8097,DEMOCRAT,7333
8097,REPUBLICAN,2550
8097,OTHER,640
8099,DEMOCRAT,1186
8099,REPUBLICAN,3531
8099,OTHER,299
8101,DEMOCRAT,35875
8101,REPUBLICAN,36265
8101,OTHER,6506
8103,DEMOCRAT,436
8103,REPUBLICAN,2791
8103,OTHER,223
8105,DEMOCRAT,2001
8105,REPUBLICAN,3085
8105,OTHER,448
8107,DEMOCRAT,7600
8107,REPUBLICAN,5230
8107,OTHER,1156
8109,DEMOCRAT,1417
8109,REPUBLICAN,1147
8109,OTHER,271
8111,DEMOCRAT,265
8111,REPUBLICAN,215
8111,OTHER,26
8113,DEMOCRAT,2975
8113,REPUBLICAN,1033
8113,OTHER,321
8115,DEMOCRAT,267
8115,REPUBLICAN,1015
8115,OTHER,82
8117,DEMOCRAT,9557
8117,REPUBLICAN,5100
8117,OTHER,1517
8119,DEMOCRAT,3603
8119,REPUBLICAN,9745
8119,OTHER,1096
8121,DEMOCRAT,296
8121,REPUBLICAN,2299
8121,OTHER,138
8123,DEMOCRAT,46519
8123,REPUBLICAN,76651
8123,OTHER,12258
8125,DEMOCRAT,726
8125,REPUBLICAN,3850
8125,OTHER,215
9001,DEMOCRAT,243852
9001,REPUBLICAN,160077
9001,OTHER,17280
9003,DEMOCRAT,240403
9003,REPUBLICAN,148173
9003,OTHER,18288
9005,DEMOCRAT,39775
9005,REPUBLICAN,53051
9005,OTHER,4616
9007,DEMOCRAT,45357
9007,REPUBLICAN,38867
9007,OTHER,4400
9009,DEMOCRAT,205609
9009,REPUBLICAN,159048
9009,OTHER,14349
9011,DEMOCRAT,62278
9011,REPUBLICAN,54058
9011,OTHER,7192
9013,DEMOCRAT,38506
9013,REPUBLICAN,34194
9013,OTHER,4724
9015,DEMOCRAT,21792
9015,REPUBLICAN,25747
9015,OTHER,3284
10001,DEMOCRAT,33351
10001,REPUBLICAN,36991
10001,OTHER,4256
10003,DEMOCRAT,162919
10003,REPUBLICAN,85525
10003,OTHER,13947
10005,DEMOCRAT,39333
10005,REPUBLICAN,62611
10005,OTHER,4064
11001,DEMOCRAT,282830
11001,REPUBLICAN,12723
11001,OTHER,15715
12001,DEMOCRAT,75820
12001,REPUBLICAN,46834
12001,OTHER,5917
12003,DEMOCRAT,2112
12003,REPUBLICAN,10294
12003,OTHER,228
12005,DEMOCRAT,21797
12005,REPUBLICAN,62194
12005,OTHER,3462
12007,DEMOCRAT,2924
12007,REPUBLICAN,8913
12007,OTHER,261
12009,DEMOCRAT,119679
12009,REPUBLICAN,181848
12009,OTHER,13225
12011,DEMOCRAT,553320
12011,REPUBLICAN,260951
12011,OTHER,17680
12013,DEMOCRAT,1241
12013,REPUBLICAN,4655
12013,OTHER,185
12015,DEMOCRAT,33445
12015,REPUBLICAN,60218
12015,OTHER,2711
12017,DEMOCRAT,22789
12017,REPUBLICAN,54456
12017,OTHER,2455
12019,DEMOCRAT,27822
12019,REPUBLICAN,74963
12019,OTHER,3698
12021,DEMOCRAT,61085
12021,REPUBLICAN,105423
12021,OTHER,4281
12023,DEMOCRAT,7601
12023,REPUBLICAN,20368
12023,OTHER,738
12027,DEMOCRAT,3781
12027,REPUBLICAN,6778
12027,OTHER,259
12029,DEMOCRAT,1270
12029,REPUBLICAN,5822
12029,OTHER,110
12031,DEMOCRAT,205704
12031,REPUBLICAN,211672
12031,OTHER,15319
12033,DEMOCRAT,57461
12033,REPUBLICAN,88808
12033,OTHER,6200
12035,DEMOCRAT,22026
12035,REPUBLICAN,33850
12035,OTHER,1627
12037,DEMOCRAT,1744
12037,REPUBLICAN,4125
12037,OTHER,146
12039,DEMOCRAT,15020
12039,REPUBLICAN,6728
12039,OTHER,365
12041,DEMOCRAT,1458
12041,REPUBLICAN,6740
12041,OTHER,222
12043,DEMOCRAT,1271
12043,REPUBLICAN,2996
12043,OTHER,86
12045,DEMOCRAT,1720
12045,REPUBLICAN,5329
12045,OTHER,244
12047,DEMOCRAT,1904
12047,REPUBLICAN,3443
12047,OTHER,113
12049,DEMOCRAT,2149
12049,REPUBLICAN,5242
12049,OTHER,192
12051,DEMOCRAT,4615
12051,REPUBLICAN,6195
12051,OTHER,305
12053,DEMOCRAT,31795
12053,REPUBLICAN,58970
12053,OTHER,3031
12055,DEMOCRAT,14937
12055,REPUBLICAN,29565
12055,OTHER,1184
12057,DEMOCRAT,307896
12057,REPUBLICAN,266870
12057,OTHER,22894
12059,DEMOCRAT,853
12059,REPUBLICAN,7483
12059,OTHER,178
12061,DEMOCRAT,29043
12061,REPUBLICAN,48620
12061,OTHER,2346
12063,DEMOCRAT,6397
12063,REPUBLICAN,14257
12063,OTHER,387
12065,DEMOCRAT,3541
12065,REPUBLICAN,3930
12065,OTHER,174
12067,DEMOCRAT,518
12067,REPUBLICAN,2809
12067,OTHER,65
12069,DEMOCRAT,62838
12069,REPUBLICAN,102188
12069,OTHER,5436
12071,DEMOCRAT,124908
12071,REPUBLICAN,191551
12071,OTHER,9961
12073,DEMOCRAT,92068
12073,REPUBLICAN,53821
12073,OTHER,6243
12075,DEMOCRAT,5101
12075,REPUBLICAN,13775
12075,OTHER,519
12077,DEMOCRAT,651
12077,REPUBLICAN,2543
12077,OTHER,102
12079,DEMOCRAT,3526
12079,REPUBLICAN,4851
12079,OTHER,128
12081,DEMOCRAT,71224
12081,REPUBLICAN,101944
12081,OTHER,5790
12083,DEMOCRAT,62041
12083,REPUBLICAN,107833
12083,OTHER,4826
12085,DEMOCRAT,30185
12085,REPUBLICAN,53204
12085,OTHER,2403
12086,DEMOCRAT,624146
12086,REPUBLICAN,333999
12086,OTHER,22059
12087,DEMOCRAT,18971
12087,REPUBLICAN,21904
12087,OTHER,1603
12089,DEMOCRAT,10869
12089,REPUBLICAN,34266
12089,OTHER,1472
12091,DEMOCRAT,23780
12091,REPUBLICAN,71893
12091,OTHER,5182
12093,DEMOCRAT,3959
12093,REPUBLICAN,9356
12093,OTHER,338
12095,DEMOCRAT,329894
12095,REPUBLICAN,195216
12095,OTHER,21165
12097,DEMOCRAT,85458
12097,REPUBLICAN,50301
12097,OTHER,4447
12099,DEMOCRAT,374673
12099,REPUBLICAN,272402
12099,OTHER,15257
12101,DEMOCRAT,90142
12101,REPUBLICAN,142101
12101,OTHER,8896
12103,DEMOCRAT,233701
12103,REPUBLICAN,239201
12103,OTHER,19501
12105,DEMOCRAT,117433
12105,REPUBLICAN,157430
12105,OTHER,9451
12107,DEMOCRAT,10094
12107,REPUBLICAN,22138
12107,OTHER,885
12109,DEMOCRAT,43099
12109,REPUBLICAN,88684
12109,OTHER,4731
12111,DEMOCRAT,66881
