fips,party,data
6023,REPUBLICAN,21770
6025,DEMOCRAT,34678
6025,GREEN,234
6025,LIBERTARIAN,390
6025,OTHER,594
6025,REPUBLICAN,20847
6027,DEMOCRAT,4634
6027,GREEN,45
6027,LIBERTARIAN,128
6027,OTHER,57
6027,REPUBLICAN,4620
6029,DEMOCRAT,133366
6029,GREEN,1074
6029,LIBERTARIAN,3942
6029,OTHER,2426
6029,REPUBLICAN,164484
6031,DEMOCRAT,18699
6031,GREEN,125
6031,LIBERTARIAN,604
6031,OTHER,361
6031,REPUBLICAN,24072
6033,DEMOCRAT,14941
6033,GREEN,207
6033,LIBERTARIAN,374
6033,OTHER,167
6033,REPUBLICAN,13123
6035,DEMOCRAT,2799
6035,GREEN,31
6035,LIBERTARIAN,141
6035,OTHER,46
6035,REPUBLICAN,8970
6037,DEMOCRAT,3028885
6037,GREEN,21660
6037,LIBERTARIAN,35452
6037,OTHER,32838
6037,REPUBLICAN,1145530
6039,DEMOCRAT,23168
6039,GREEN,217
6039,LIBERTARIAN,621
6039,OTHER,348
6039,REPUBLICAN,29378
6041,DEMOCRAT,128288
6041,GREEN,724
6041,LIBERTARIAN,1536
6041,OTHER,670
6041,REPUBLICAN,24612
6043,DEMOCRAT,4088
6043,GREEN,39
6043,LIBERTARIAN,155
6043,OTHER,48
6043,REPUBLICAN,5950
6045,DEMOCRAT,28782
6045,GREEN,394
6045,LIBERTARIAN,591
6045,OTHER,306
6045,REPUBLICAN,13267
6047,DEMOCRAT,48991
6047,GREEN,388
6047,LIBERTARIAN,941
6047,OTHER,837
6047,REPUBLICAN,39397
6049,DEMOCRAT,1150
6049,GREEN,15
6049,LIBERTARIAN,39
6049,OTHER,30
6049,REPUBLICAN,3109
6051,DEMOCRAT,4013
6051,GREEN,42
6051,LIBERTARIAN,126
6051,OTHER,44
6051,REPUBLICAN,2513
6053,DEMOCRAT,113953
6053,GREEN,749
6053,LIBERTARIAN,1820
6053,OTHER,1102
6053,REPUBLICAN,46299
6055,DEMOCRAT,49817
6055,GREEN,310
6055,LIBERTARIAN,914
6055,OTHER,433
6055,REPUBLICAN,20676
6057,DEMOCRAT,36359
6057,GREEN,345
6057,LIBERTARIAN,919
6057,OTHER,348
6057,REPUBLICAN,26779
6059,DEMOCRAT,814009
6059,GREEN,5819
6059,LIBERTARIAN,17325
6059,OTHER,8462
6059,REPUBLICAN,676498
6061,DEMOCRAT,106869
6061,GREEN,779
6061,LIBERTARIAN,3948
6061,OTHER,1000
6061,REPUBLICAN,122488
6063,DEMOCRAT,4561
6063,GREEN,39
6063,LIBERTARIAN,153
6063,OTHER,62
6063,REPUBLICAN,6445
6065,DEMOCRAT,528340
6065,GREEN,3372
6065,LIBERTARIAN,9970
6065,OTHER,6330
6065,REPUBLICAN,449144
6067,DEMOCRAT,440808
6067,GREEN,3254
6067,LIBERTARIAN,9770
6067,OTHER,5203
6067,REPUBLICAN,259405
6069,DEMOCRAT,17628
6069,GREEN,91
6069,LIBERTARIAN,345
6069,OTHER,176
6069,REPUBLICAN,10590
6071,DEMOCRAT,455859
6071,GREEN,3619
6071,LIBERTARIAN,8791
6071,OTHER,6604
6071,REPUBLICAN,366257
6073,DEMOCRAT,964650
6073,GREEN,7421
6073,LIBERTARIAN,21386
6073,OTHER,8592
6073,REPUBLICAN,600094
6075,DEMOCRAT,378156
6075,GREEN,2781
6075,LIBERTARIAN,3299
6075,OTHER,2900
6075,REPUBLICAN,56417
6077,DEMOCRAT,161137
6077,GREEN,1064
6077,LIBERTARIAN,2929
6077,OTHER,NA
6077,REPUBLICAN,121098
6079,DEMOCRAT,88310
6079,GREEN,794
6079,LIBERTARIAN,2408
6079,OTHER,766
6079,REPUBLICAN,67436
6081,DEMOCRAT,291496
6081,GREEN,1595
6081,LIBERTARIAN,3554
6081,OTHER,2022
6081,REPUBLICAN,75584
6083,DEMOCRAT,129963
6083,GREEN,939
6083,LIBERTARIAN,2416
6083,OTHER,1285
6083,REPUBLICAN,65736
6085,DEMOCRAT,617967
6085,GREEN,4040
6085,LIBERTARIAN,9131
6085,OTHER,4991
6085,REPUBLICAN,214612
6087,DEMOCRAT,114246
6087,GREEN,1062
6087,LIBERTARIAN,1704
6087,OTHER,888
6087,REPUBLICAN,26937
6089,DEMOCRAT,30000
6089,GREEN,368
6089,LIBERTARIAN,1277
6089,OTHER,496
6089,REPUBLICAN,60789
6091,DEMOCRAT,730
6091,GREEN,13
6091,LIBERTARIAN,27
6091,OTHER,19
6091,REPUBLICAN,1142
6093,DEMOCRAT,9593
6093,GREEN,116
6093,LIBERTARIAN,318
6093,OTHER,155
6093,REPUBLICAN,13290
6095,DEMOCRAT,131639
6095,GREEN,958
6095,LIBERTARIAN,2475
6095,OTHER,1499
6095,REPUBLICAN,69306
6097,DEMOCRAT,199938
6097,GREEN,1499
6097,LIBERTARIAN,3418
6097,OTHER,1637
6097,REPUBLICAN,61825
6099,DEMOCRAT,105841
6099,GREEN,742
6099,LIBERTARIAN,2494
6099,OTHER,1732
6099,REPUBLICAN,104145
6101,DEMOCRAT,17367
6101,GREEN,136
6101,LIBERTARIAN,521
6101,OTHER,245
6101,REPUBLICAN,24375
6103,DEMOCRAT,8911
6103,GREEN,90
6103,LIBERTARIAN,403
6103,OTHER,186
6103,REPUBLICAN,19141
6105,DEMOCRAT,2851
6105,GREEN,50
6105,LIBERTARIAN,117
6105,OTHER,53
6105,REPUBLICAN,3188
6107,DEMOCRAT,66105
6107,GREEN,483
6107,LIBERTARIAN,1498
6107,OTHER,1220
6107,REPUBLICAN,77579
6109,DEMOCRAT,11978
6109,GREEN,145
6109,LIBERTARIAN,439
6109,OTHER,157
6109,REPUBLICAN,17689
6111,DEMOCRAT,251388
6111,GREEN,1766
6111,LIBERTARIAN,5069
6111,OTHER,2395
6111,REPUBLICAN,162207
6113,DEMOCRAT,67598
6113,GREEN,547
