year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ALABAMA,FAYETTE,1057,OTHER,OTHER,175,8249,TOTAL
2016,ALABAMA,FRANKLIN,1059,HILLARY CLINTON,DEMOCRAT,2197,12040,TOTAL
2016,ALABAMA,FRANKLIN,1059,DONALD TRUMP,REPUBLICAN,9466,12040,TOTAL
2016,ALABAMA,FRANKLIN,1059,OTHER,OTHER,377,12040,TOTAL
2016,ALABAMA,GENEVA,1061,HILLARY CLINTON,DEMOCRAT,1525,11758,TOTAL
2016,ALABAMA,GENEVA,1061,DONALD TRUMP,REPUBLICAN,9994,11758,TOTAL
2016,ALABAMA,GENEVA,1061,OTHER,OTHER,239,11758,TOTAL
2016,ALABAMA,GREENE,1063,HILLARY CLINTON,DEMOCRAT,4013,4880,TOTAL
2016,ALABAMA,GREENE,1063,DONALD TRUMP,REPUBLICAN,838,4880,TOTAL
2016,ALABAMA,GREENE,1063,OTHER,OTHER,29,4880,TOTAL
2016,ALABAMA,HALE,1065,HILLARY CLINTON,DEMOCRAT,4775,8040,TOTAL
2016,ALABAMA,HALE,1065,DONALD TRUMP,REPUBLICAN,3173,8040,TOTAL
2016,ALABAMA,HALE,1065,OTHER,OTHER,92,8040,TOTAL
2016,ALABAMA,HENRY,1067,HILLARY CLINTON,DEMOCRAT,2292,8072,TOTAL
2016,ALABAMA,HENRY,1067,DONALD TRUMP,REPUBLICAN,5632,8072,TOTAL
2016,ALABAMA,HENRY,1067,OTHER,OTHER,148,8072,TOTAL
2016,ALABAMA,HOUSTON,1069,HILLARY CLINTON,DEMOCRAT,10664,42639,TOTAL
2016,ALABAMA,HOUSTON,1069,DONALD TRUMP,REPUBLICAN,30728,42639,TOTAL
2016,ALABAMA,HOUSTON,1069,OTHER,OTHER,1247,42639,TOTAL
2016,ALABAMA,JACKSON,1071,HILLARY CLINTON,DEMOCRAT,3673,20984,TOTAL
2016,ALABAMA,JACKSON,1071,DONALD TRUMP,REPUBLICAN,16672,20984,TOTAL
2016,ALABAMA,JACKSON,1071,OTHER,OTHER,639,20984,TOTAL
2016,ALABAMA,JEFFERSON,1073,HILLARY CLINTON,DEMOCRAT,156873,304191,TOTAL
2016,ALABAMA,JEFFERSON,1073,DONALD TRUMP,REPUBLICAN,134768,304191,TOTAL
2016,ALABAMA,JEFFERSON,1073,OTHER,OTHER,12550,304191,TOTAL
2016,ALABAMA,LAMAR,1075,HILLARY CLINTON,DEMOCRAT,1036,6966,TOTAL
2016,ALABAMA,LAMAR,1075,DONALD TRUMP,REPUBLICAN,5823,6966,TOTAL
2016,ALABAMA,LAMAR,1075,OTHER,OTHER,107,6966,TOTAL
2016,ALABAMA,LAUDERDALE,1077,HILLARY CLINTON,DEMOCRAT,9952,39525,TOTAL
2016,ALABAMA,LAUDERDALE,1077,DONALD TRUMP,REPUBLICAN,27899,39525,TOTAL
2016,ALABAMA,LAUDERDALE,1077,OTHER,OTHER,1674,39525,TOTAL
2016,ALABAMA,LAWRENCE,1079,HILLARY CLINTON,DEMOCRAT,3627,14829,TOTAL
2016,ALABAMA,LAWRENCE,1079,DONALD TRUMP,REPUBLICAN,10833,14829,TOTAL
2016,ALABAMA,LAWRENCE,1079,OTHER,OTHER,369,14829,TOTAL
2016,ALABAMA,LEE,1081,HILLARY CLINTON,DEMOCRAT,21230,59191,TOTAL
2016,ALABAMA,LEE,1081,DONALD TRUMP,REPUBLICAN,34617,59191,TOTAL
2016,ALABAMA,LEE,1081,OTHER,OTHER,3344,59191,TOTAL
2016,ALABAMA,LIMESTONE,1083,HILLARY CLINTON,DEMOCRAT,9468,40294,TOTAL
2016,ALABAMA,LIMESTONE,1083,DONALD TRUMP,REPUBLICAN,29067,40294,TOTAL
2016,ALABAMA,LIMESTONE,1083,OTHER,OTHER,1759,40294,TOTAL
2016,ALABAMA,LOWNDES,1085,HILLARY CLINTON,DEMOCRAT,4883,6684,TOTAL
2016,ALABAMA,LOWNDES,1085,DONALD TRUMP,REPUBLICAN,1751,6684,TOTAL
2016,ALABAMA,LOWNDES,1085,OTHER,OTHER,50,6684,TOTAL
2016,ALABAMA,MACON,1087,HILLARY CLINTON,DEMOCRAT,7566,9140,TOTAL
2016,ALABAMA,MACON,1087,DONALD TRUMP,REPUBLICAN,1431,9140,TOTAL
2016,ALABAMA,MACON,1087,OTHER,OTHER,143,9140,TOTAL
2016,ALABAMA,MADISON,1089,HILLARY CLINTON,DEMOCRAT,62822,163389,TOTAL
2016,ALABAMA,MADISON,1089,DONALD TRUMP,REPUBLICAN,89520,163389,TOTAL
2016,ALABAMA,MADISON,1089,OTHER,OTHER,11047,163389,TOTAL
2016,ALABAMA,MARENGO,1091,HILLARY CLINTON,DEMOCRAT,5615,10994,TOTAL
2016,ALABAMA,MARENGO,1091,DONALD TRUMP,REPUBLICAN,5233,10994,TOTAL
2016,ALABAMA,MARENGO,1091,OTHER,OTHER,146,10994,TOTAL
2016,ALABAMA,MARION,1093,HILLARY CLINTON,DEMOCRAT,1432,12984,TOTAL
2016,ALABAMA,MARION,1093,DONALD TRUMP,REPUBLICAN,11274,12984,TOTAL
2016,ALABAMA,MARION,1093,OTHER,OTHER,278,12984,TOTAL
2016,ALABAMA,MARSHALL,1095,HILLARY CLINTON,DEMOCRAT,4917,35316,TOTAL
2016,ALABAMA,MARSHALL,1095,DONALD TRUMP,REPUBLICAN,29233,35316,TOTAL
